"","allCAG","allCAGpred"
"35",5.02387703399809,4.41998735644354
"40",5.01330486096303,4.45105767025944
"43",4.97922869639837,4.89192136714134
"44",4.95083574847749,4.24042109623648
"49",5.34266625426222,4.33783652909054
"63",5.28897647594843,4.17690589363676
"65",5.29401472344053,4.69288193526644
"67",5.31907037542188,4.12935976070225
"68",5.32823508495399,4.50714865528251
"70",1.94591014905531,4.11729406195013
"77",3.0008377185619,4.03623606368062
"79",1.94591014905531,4.2212230995239
"90",2.99442141475389,3.88522554399532
"94",1.94591014905531,4.04377564132836
"98",2.99789493331862,3.45384433581116
"105",1.94591014905531,3.82392292237382
"108",1.94591014905531,3.92683362083209
"109",3.0008377185619,4.16057950594577
"111",2.99215739126989,3.11709229355845
"119",4.4690142092969,4.36650767110785
"121",4.4464226065893,4.15235930658079
"128",4.43065928643889,4.41757088149365
"129",4.43140376939953,3.8083851209595
"132",4.44426172369745,3.36935893151418
"142",4.64418366613163,4.76233892609496
"152",4.60641610950294,4.23091959825417
